Company Name,Symbol,Sector,Dividend
Fife Capital Corp.,FFC.P.V,sector not available!,0
Firefox Gold Corp.,FFOX.V,Basic Materials,0
Cons Firstfund Capital Corp.,FFP.V,Financial Services,0
Falcon Gold Corp.,FG.V,Basic Materials,0
Frontline Gold Corporation,FGC.V,Basic Materials,0
Filo Mining Corp.,FIL.V,Basic Materials,0
Baselode Energy Corp.,FIND.V,Energy,0
Sailfish Royalty Corp.,FISH.V,Basic Materials,0
Fokus Mining Corporation,FKM.V,Basic Materials,0
Frontier Lithium Inc.,FL.V,Basic Materials,0
Drone Delivery Canada Corp.,FLT.V,Technology,0
